fecha,region,producto,categoria,cliente,vendedor,cantidad,precio_unitario,monto_total
2023-03-15,Lima,Capacitacion Analytics,Capacitacion,Farmacias Salud Total S.A.C.,Diego Fernandez,2,883.19,1766.38
2023-03-17,Lima,Auditoria de Datos,Consultoria,Seguridad Integral Halcon S.A.C.,Carlos Mendoza,6,3511.86,21071.16
2023-03-17,Cusco,Modelo Predictivo,Consultoria,Universidad Tecnologica del Pacifico,Ana Quispe,10,17081.93,170819.3
2023-03-18,Trujillo,Integracion ERP,Consultoria,Muebles Diseno Trujillo S.A.C.,Ana Quispe,7,9350.05,65450.35
2023-03-20,Lima,Migracion Cloud,Consultoria,Gas Natural Altiplano S.A.C.,Miguel Torres,6,27874.83,167248.98
2023-03-21,Piura,Auditoria de Datos,Consultoria,Servicios Portuarios Paita S.A.C.,Patricia Vargas,2,6031.35,12062.7
2023-03-22,Arequipa,Capacitacion Analytics,Capacitacion,Energia Renovable Ica S.A.C.,Carlos Mendoza,9,889.92,8009.28
2023-03-23,Piura,Auditoria de Datos,Consultoria,Tecnologia Medica Vitalis S.A.C.,Carlos Mendoza,8,8669.37,69354.96
2023-03-23,Arequipa,Migracion Cloud,Consultoria,Gas Natural Altiplano S.A.C.,Jorge Salazar,2,26947.47,53894.94
2023-03-23,Lima,Auditoria de Datos,Consultoria,Universidad Tecnologica del Pacifico,Patricia Vargas,4,5696.25,22785.0
2023-03-24,Lima,Capacitacion Analytics,Capacitacion,Plasticos Industriales Ate S.A.C.,Diego Fernandez,9,654.81,5893.29
2023-03-24,Lima,Capacitacion Analytics,Capacitacion,Clinica San Bernardo S.A.,Ana Quispe,6,1435.13,8610.78
2023-03-26,Lima,Auditoria de Datos,Consultoria,Seguridad Integral Halcon S.A.C.,Diego Fernandez,6,5881.22,35287.32
2023-03-27,Lima,Auditoria de Datos,Consultoria,Corporacion Avicola Piurana S.A.,Rosa Huaman,9,3804.9,34244.1
2023-03-30,Trujillo,Migracion Cloud,Consultoria,Grupo Logistico Callao S.A.,Patricia Vargas,6,19646.65,117879.9
2023-03-31,Lima,Modelo Predictivo,Consultoria,Alimentos Selva Verde S.A.C.,Diego Fernandez,1,7324.15,7324.15
2023-04-01,Trujillo,Migracion Cloud,Consultoria,Cementos Huascaran S.A.A.,Carlos Mendoza,4,15960.73,63842.92
2023-04-01,Cusco,Migracion Cloud,Consultoria,Financiera Credi Andes S.A.,Rosa Huaman,8,26592.53,212740.24
2023-04-03,Lima,Auditoria de Datos,Consultoria,Agroindustrias Chavimochic S.A.,Miguel Torres,7,10349.03,72443.21
2023-04-04,Arequipa,Capacitacion Analytics,Capacitacion,Pesquera Costa Azul S.A.C.,Lucia Ramirez,10,1326.33,13263.3
2023-04-04,Cusco,Modelo Predictivo,Consultoria,Aceros del Rimac S.A.A.,Rosa Huaman,4,9325.42,37301.68
2023-04-05,Lima,Capacitacion Analytics,Capacitacion,Distribuidora Molina Hermanos S.A.C.,Carlos Mendoza,6,1131.38,6788.28
2023-04-05,Piura,Modelo Predictivo,Consultoria,Turismo Machu Travel S.A.C.,Patricia Vargas,2,11140.3,22280.6
2023-04-07,Lima,Auditoria de Datos,Consultoria,Clinica San Bernardo S.A.,Ana Quispe,1,10141.03,10141.03
2023-04-11,Lima,Auditoria de Datos,Consultoria,Aceros del Rimac S.A.A.,Ana Quispe,4,7065.01,28260.04
2023-04-13,Piura,Data Warehouse,Licencias,Retail Plaza Sur S.A.C.,Ana Quispe,8,42925.46,343403.68
2023-04-13,Lima,Dashboard Corporativo,Licencias,Inversiones Miraflores S.A.C.,Carlos Mendoza,3,6178.34,18535.02
2023-04-13,Lima,Capacitacion Analytics,Capacitacion,Corporacion Avicola Piurana S.A.,Lucia Ramirez,3,783.98,2351.94
2023-04-14,Lima,Capacitacion Analytics,Capacitacion,Consorcio Vial Sierra Sur S.A.,Ana Quispe,5,886.14,4430.7
2023-04-14,Trujillo,Data Warehouse,Licencias,Laboratorios Quimica Andina S.A.,Jorge Salazar,2,17152.38,34304.76
2023-04-15,Lima,Data Warehouse,Licencias,Frutas de Exportacion Olmos S.A.,Ana Quispe,4,34737.64,138950.56
2023-04-16,Lima,Migracion Cloud,Consultoria,Universidad Tecnologica del Pacifico,Jorge Salazar,4,15895.92,63583.68
2023-04-16,Lima,Data Warehouse,Licencias,Aguas Cristalinas del Norte S.A.,Rosa Huaman,10,15183.94,151839.4
2023-04-17,Arequipa,Modelo Predictivo,Consultoria,Supermercados Mi Barrio S.A.C.,Carlos Mendoza,6,17593.16,105558.96
2023-04-20,Cusco,Capacitacion Analytics,Capacitacion,Seguros Vida Andina S.A.,Rosa Huaman,5,1487.15,7435.75
2023-04-21,Arequipa,Capacitacion Analytics,Capacitacion,Agroindustrias Chavimochic S.A.,Miguel Torres,4,1084.7,4338.8
2023-04-22,Arequipa,Data Warehouse,Licencias,Clinica San Bernardo S.A.,Carlos Mendoza,2,32709.46,65418.92
2023-04-22,Lima,Capacitacion Analytics,Capacitacion,Turismo Machu Travel S.A.C.,Lucia Ramirez,2,721.6,1443.2
2023-04-25,Cusco,Capacitacion Analytics,Capacitacion,Laboratorios Quimica Andina S.A.,Ana Quispe,6,816.18,4897.08
2023-04-25,Piura,Modelo Predictivo,Consultoria,Alimentos Selva Verde S.A.C.,Lucia Ramirez,8,16156.6,129252.8
2023-04-27,Lima,Data Warehouse,Licencias,Tecnologia Medica Vitalis S.A.C.,Carlos Mendoza,3,36039.84,108119.52
2023-04-28,Cusco,Dashboard Corporativo,Licencias,Automotriz Lima Norte S.A.C.,Lucia Ramirez,7,5593.22,39152.54
2023-04-29,Cusco,Capacitacion Analytics,Capacitacion,Telecom Peru Conecta S.A.C.,Ana Quispe,9,1094.04,9846.36
2023-04-30,Lima,Migracion Cloud,Consultoria,Agroindustrias Chavimochic S.A.,Diego Fernandez,3,10700.12,32100.36
2023-05-01,Lima,Auditoria de Datos,Consultoria,Financiera Credi Andes S.A.,Lucia Ramirez,10,4908.42,49084.2
2023-05-01,Lima,Dashboard Corporativo,Licencias,Telecom Peru Conecta S.A.C.,Diego Fernandez,2,3588.94,7177.88
2023-05-03,Cusco,Auditoria de Datos,Consultoria,Consorcio Vial Sierra Sur S.A.,Miguel Torres,10,8686.35,86863.5
2023-05-04,Trujillo,Auditoria de Datos,Consultoria,Financiera Credi Andes S.A.,Patricia Vargas,7,8169.2,57184.4
2023-05-05,Trujillo,Modelo Predictivo,Consultoria,Alimentos Selva Verde S.A.C.,Carlos Mendoza,6,17940.01,107640.06
2023-05-05,Cusco,Dashboard Corporativo,Licencias,Automotriz Lima Norte S.A.C.,Carlos Mendoza,2,3288.49,6576.98
2023-05-05,Arequipa,Capacitacion Analytics,Capacitacion,Hoteles Cusco Imperial S.A.C.,Lucia Ramirez,5,1091.08,5455.4
2023-05-08,Lima,Auditoria de Datos,Consultoria,Textiles Pima Norte S.A.C.,Patricia Vargas,2,8974.43,17948.86
2023-05-10,Trujillo,Data Warehouse,Licencias,Supermercados Mi Barrio S.A.C.,Rosa Huaman,5,26699.48,133497.4
2023-05-11,Piura,Capacitacion Analytics,Capacitacion,Minera Cerro Verde Andino S.A.,Rosa Huaman,1,627.22,627.22
2023-05-12,Arequipa,Capacitacion Analytics,Capacitacion,Cementos Huascaran S.A.A.,Patricia Vargas,1,1602.2,1602.2
2023-05-12,Lima,Auditoria de Datos,Consultoria,Tecnologia Medica Vitalis S.A.C.,Lucia Ramirez,10,5067.57,50675.7
2023-05-14,Lima,Modelo Predictivo,Consultoria,Servicios Portuarios Paita S.A.C.,Jorge Salazar,6,13651.66,81909.96
2023-05-16,Lima,Capacitacion Analytics,Capacitacion,Cerveceria Del Valle S.A.C.,Jorge Salazar,5,1008.89,5044.45
2023-05-19,Lima,Dashboard Corporativo,Licencias,Aguas Cristalinas del Norte S.A.,Miguel Torres,7,2748.16,19237.12
2023-05-20,Arequipa,Migracion Cloud,Consultoria,Universidad Tecnologica del Pacifico,Jorge Salazar,2,23982.67,47965.34
2023-05-21,Cusco,Integracion ERP,Consultoria,Aguas Cristalinas del Norte S.A.,Patricia Vargas,3,16798.43,50395.29
2023-05-21,Trujillo,Integracion ERP,Consultoria,Retail Plaza Sur S.A.C.,Miguel Torres,10,6205.92,62059.2
2023-05-21,Trujillo,Auditoria de Datos,Consultoria,Alimentos Selva Verde S.A.C.,Rosa Huaman,10,5601.45,56014.5
2023-05-21,Trujillo,Migracion Cloud,Consultoria,Agroindustrias Chavimochic S.A.,Patricia Vargas,4,12658.37,50633.48
2023-05-21,Lima,Capacitacion Analytics,Capacitacion,Pesquera Costa Azul S.A.C.,Carlos Mendoza,10,1786.79,17867.9
2023-05-22,Trujillo,Auditoria de Datos,Consultoria,Constructora Los Incas S.A.,Diego Fernandez,7,3554.13,24878.91
2023-05-22,Arequipa,Modelo Predictivo,Consultoria,Molinos San Agustin S.A.A.,Carlos Mendoza,9,18435.3,165917.7
2023-05-23,Trujillo,Migracion Cloud,Consultoria,Aceros del Rimac S.A.A.,Miguel Torres,1,19941.99,19941.99
2023-05-23,Trujillo,Data Warehouse,Licencias,Turismo Machu Travel S.A.C.,Rosa Huaman,7,21417.84,149924.88
2023-05-23,Trujillo,Dashboard Corporativo,Licencias,Financiera Credi Andes S.A.,Diego Fernandez,4,7418.09,29672.36
2023-05-24,Lima,Capacitacion Analytics,Capacitacion,Consorcio Vial Sierra Sur S.A.,Patricia Vargas,8,764.54,6116.32
2023-05-26,Lima,Dashboard Corporativo,Licencias,Plasticos Industriales Ate S.A.C.,Carlos Mendoza,10,5613.77,56137.7
2023-05-26,Lima,Capacitacion Analytics,Capacitacion,Molinos San Agustin S.A.A.,Ana Quispe,10,588.07,5880.7
2023-05-26,Arequipa,Capacitacion Analytics,Capacitacion,Textiles Pima Norte S.A.C.,Diego Fernandez,2,499.57,999.14
2023-05-27,Lima,Modelo Predictivo,Consultoria,Tecnologia Medica Vitalis S.A.C.,Ana Quispe,4,15206.55,60826.2
2023-05-27,Trujillo,Capacitacion Analytics,Capacitacion,Servicios Portuarios Paita S.A.C.,Lucia Ramirez,1,1274.97,1274.97
2023-05-29,Arequipa,Capacitacion Analytics,Capacitacion,Distribuidora Molina Hermanos S.A.C.,Rosa Huaman,5,1198.6,5993.0
2023-05-30,Piura,Capacitacion Analytics,Capacitacion,Distribuidora Molina Hermanos S.A.C.,Ana Quispe,10,982.34,9823.4
2023-05-31,Lima,Auditoria de Datos,Consultoria,Cementos Huascaran S.A.A.,Patricia Vargas,10,5475.12,54751.2
2023-06-01,Arequipa,Dashboard Corporativo,Licencias,Telecom Peru Conecta S.A.C.,Ana Quispe,2,4403.04,8806.08
2023-06-01,Trujillo,Migracion Cloud,Consultoria,Frutas de Exportacion Olmos S.A.,Patricia Vargas,2,17848.21,35696.42
2023-06-03,Cusco,Data Warehouse,Licencias,Tecnologia Medica Vitalis S.A.C.,Lucia Ramirez,3,29271.36,87814.08
2023-06-03,Piura,Dashboard Corporativo,Licencias,Muebles Diseno Trujillo S.A.C.,Diego Fernandez,3,5935.26,17805.78
2023-06-04,Trujillo,Dashboard Corporativo,Licencias,Energia Renovable Ica S.A.C.,Carlos Mendoza,4,4864.13,19456.52
2023-06-04,Piura,Migracion Cloud,Consultoria,Seguros Vida Andina S.A.,Lucia Ramirez,2,19602.38,39204.76
2023-06-04,Lima,Capacitacion Analytics,Capacitacion,Transportes Andino Express S.A.C.,Diego Fernandez,4,1074.93,4299.72
2023-06-05,Piura,Capacitacion Analytics,Capacitacion,Telecom Peru Conecta S.A.C.,Diego Fernandez,8,1794.18,14353.44
2023-06-08,Lima,Auditoria de Datos,Consultoria,Constructora Los Incas S.A.,Diego Fernandez,7,9183.0,64281.0
2023-06-11,Trujillo,Dashboard Corporativo,Licencias,Minera Cerro Verde Andino S.A.,Lucia Ramirez,5,3106.19,15530.95
2023-06-11,Lima,Data Warehouse,Licencias,Aguas Cristalinas del Norte S.A.,Miguel Torres,2,27913.06,55826.12
2023-06-11,Arequipa,Auditoria de Datos,Consultoria,Textiles Pima Norte S.A.C.,Carlos Mendoza,1,6698.49,6698.49
2023-06-13,Piura,Auditoria de Datos,Consultoria,Constructora Los Incas S.A.,Carlos Mendoza,2,6163.32,12326.64
2023-06-14,Trujillo,Data Warehouse,Licencias,Automotriz Lima Norte S.A.C.,Miguel Torres,3,18774.82,56324.46
2023-06-14,Cusco,Capacitacion Analytics,Capacitacion,Corporacion Avicola Piurana S.A.,Lucia Ramirez,7,1193.14,8351.98
2023-06-14,Trujillo,Dashboard Corporativo,Licencias,Aguas Cristalinas del Norte S.A.,Carlos Mendoza,5,5102.89,25514.45
2023-06-15,Trujillo,Capacitacion Analytics,Capacitacion,Energia Renovable Ica S.A.C.,Carlos Mendoza,4,1622.82,6491.28
2023-06-16,Trujillo,Integracion ERP,Consultoria,Agroindustrias Chavimochic S.A.,Diego Fernandez,4,6063.26,24253.04
2023-06-17,Cusco,Data Warehouse,Licencias,Constructora Los Incas S.A.,Miguel Torres,3,25745.02,77235.06
2023-06-17,Trujillo,Migracion Cloud,Consultoria,Transportes Andino Express S.A.C.,Miguel Torres,4,20890.05,83560.2
2023-06-21,Lima,Auditoria de Datos,Consultoria,Supermercados Mi Barrio S.A.C.,Carlos Mendoza,6,4898.13,29388.78
2023-06-23,Lima,Dashboard Corporativo,Licencias,Pesquera Costa Azul S.A.C.,Lucia Ramirez,4,4023.92,16095.68
2023-06-24,Trujillo,Auditoria de Datos,Consultoria,Cementos Huascaran S.A.A.,Ana Quispe,6,4625.67,27754.02
2023-06-25,Lima,Data Warehouse,Licencias,Aceros del Rimac S.A.A.,Miguel Torres,6,23787.68,142726.08
2023-06-25,Arequipa,Modelo Predictivo,Consultoria,Clinica San Bernardo S.A.,Lucia Ramirez,2,19813.16,39626.32
2023-06-27,Lima,Dashboard Corporativo,Licencias,Distribuidora Molina Hermanos S.A.C.,Carlos Mendoza,5,4296.31,21481.55
2023-06-28,Lima,Integracion ERP,Consultoria,Alimentos Selva Verde S.A.C.,Miguel Torres,7,8514.23,59599.61
2023-06-30,Trujillo,Dashboard Corporativo,Licencias,Turismo Machu Travel S.A.C.,Carlos Mendoza,1,5627.3,5627.3
2023-07-04,Lima,Capacitacion Analytics,Capacitacion,Supermercados Mi Barrio S.A.C.,Rosa Huaman,7,1288.18,9017.26
2023-07-04,Lima,Dashboard Corporativo,Licencias,Farmacias Salud Total S.A.C.,Miguel Torres,9,2848.04,25632.36
2023-07-05,Lima,Dashboard Corporativo,Licencias,Turismo Machu Travel S.A.C.,Rosa Huaman,2,3088.25,6176.5
2023-07-06,Lima,Auditoria de Datos,Consultoria,Cerveceria Del Valle S.A.C.,Miguel Torres,6,8411.25,50467.5
2023-07-06,Piura,Dashboard Corporativo,Licencias,Energia Renovable Ica S.A.C.,Miguel Torres,3,4082.44,12247.32
2023-07-07,Trujillo,Migracion Cloud,Consultoria,Consorcio Vial Sierra Sur S.A.,Carlos Mendoza,9,18968.28,170714.52
2023-07-07,Piura,Auditoria de Datos,Consultoria,Aguas Cristalinas del Norte S.A.,Rosa Huaman,4,10980.92,43923.68
2023-07-09,Trujillo,Capacitacion Analytics,Capacitacion,Muebles Diseno Trujillo S.A.C.,Diego Fernandez,2,1548.65,3097.3
2023-07-09,Arequipa,Auditoria de Datos,Consultoria,Telecom Peru Conecta S.A.C.,Carlos Mendoza,9,7443.66,66992.94
2023-07-10,Trujillo,Dashboard Corporativo,Licencias,Universidad Tecnologica del Pacifico,Carlos Mendoza,8,4401.87,35214.96
2023-07-10,Piura,Capacitacion Analytics,Capacitacion,Energia Renovable Ica S.A.C.,Miguel Torres,6,1296.72,7780.32
2023-07-11,Lima,Data Warehouse,Licencias,Retail Plaza Sur S.A.C.,Diego Fernandez,4,27966.56,111866.24
2023-07-11,Arequipa,Capacitacion Analytics,Capacitacion,Agroindustrias Chavimochic S.A.,Diego Fernandez,1,506.95,506.95
2023-07-11,Lima,Modelo Predictivo,Consultoria,Aguas Cristalinas del Norte S.A.,Diego Fernandez,6,13531.22,81187.32
2023-07-13,Trujillo,Capacitacion Analytics,Capacitacion,Editorial Amauta S.A.C.,Lucia Ramirez,6,1518.42,9110.52
2023-07-18,Lima,Dashboard Corporativo,Licencias,Tecnologia Medica Vitalis S.A.C.,Rosa Huaman,6,5649.31,33895.86
2023-07-18,Lima,Auditoria de Datos,Consultoria,Consorcio Vial Sierra Sur S.A.,Rosa Huaman,7,5976.86,41838.02
2023-07-18,Piura,Modelo Predictivo,Consultoria,Turismo Machu Travel S.A.C.,Carlos Mendoza,5,17357.85,86789.25
2023-07-19,Lima,Data Warehouse,Licencias,Frutas de Exportacion Olmos S.A.,Patricia Vargas,10,25327.94,253279.4
2023-07-20,Lima,Capacitacion Analytics,Capacitacion,Turismo Machu Travel S.A.C.,Patricia Vargas,5,871.35,4356.75
2023-07-21,Lima,Modelo Predictivo,Consultoria,Corporacion Avicola Piurana S.A.,Lucia Ramirez,8,9498.5,75988.0
2023-07-21,Arequipa,Dashboard Corporativo,Licencias,Clinica San Bernardo S.A.,Diego Fernandez,4,3868.18,15472.72
2023-07-22,Lima,Auditoria de Datos,Consultoria,Plasticos Industriales Ate S.A.C.,Jorge Salazar,4,3898.45,15593.8
2023-07-23,Piura,Auditoria de Datos,Consultoria,Telecom Peru Conecta S.A.C.,Carlos Mendoza,3,5398.33,16194.99
2023-07-23,Arequipa,Migracion Cloud,Consultoria,Agroindustrias Chavimochic S.A.,Lucia Ramirez,1,16249.74,16249.74
2023-07-24,Lima,Integracion ERP,Consultoria,Plasticos Industriales Ate S.A.C.,Carlos Mendoza,9,9252.4,83271.6
2023-07-24,Lima,Capacitacion Analytics,Capacitacion,Supermercados Mi Barrio S.A.C.,Miguel Torres,10,629.17,6291.7
2023-07-25,Arequipa,Migracion Cloud,Consultoria,Supermercados Mi Barrio S.A.C.,Jorge Salazar,4,11702.55,46810.2
2023-07-25,Trujillo,Dashboard Corporativo,Licencias,Constructora Los Incas S.A.,Jorge Salazar,4,7190.12,28760.48
2023-07-25,Lima,Dashboard Corporativo,Licencias,Minera Cerro Verde Andino S.A.,Lucia Ramirez,9,2576.28,23186.52
2023-07-26,Trujillo,Data Warehouse,Licencias,Cerveceria Del Valle S.A.C.,Ana Quispe,4,29624.81,118499.24
2023-07-28,Lima,Data Warehouse,Licencias,Banco Continental del Sur S.A.A.,Lucia Ramirez,1,19354.57,19354.57
2023-07-29,Cusco,Dashboard Corporativo,Licencias,Agroindustrias Chavimochic S.A.,Rosa Huaman,7,5379.46,37656.22
2023-07-29,Lima,Dashboard Corporativo,Licencias,Molinos San Agustin S.A.A.,Jorge Salazar,6,2800.18,16801.08
2023-07-30,Lima,Dashboard Corporativo,Licencias,Seguros Vida Andina S.A.,Carlos Mendoza,9,5158.31,46424.79
2023-07-30,Arequipa,Integracion ERP,Consultoria,Retail Plaza Sur S.A.C.,Diego Fernandez,9,8750.91,78758.19
2023-08-01,Lima,Dashboard Corporativo,Licencias,Universidad Tecnologica del Pacifico,Lucia Ramirez,1,5257.34,5257.34
2023-08-03,Trujillo,Auditoria de Datos,Consultoria,Hoteles Cusco Imperial S.A.C.,Jorge Salazar,6,7397.79,44386.74
